Prénom;Sexe;Année de naissance;Occurence
ELIAS;GARCON;2016;7.0
NOHAM;GARCON;2016;7.0
PABLO;GARCON;2016;7.0
ROMAIN;GARCON;2016;7.0
TILIO;GARCON;2016;7.0
ROMAN;GARCON;2016;6.0
LÉA;FILLE;2015;37.0
MATHILDE;FILLE;2015;20.0
LOU;FILLE;2015;12.0
AYA;FILLE;2015;11.0
CLARISSE;FILLE;2015;10.0
ELISA;FILLE;2015;10.0
MAËLLE;FILLE;2015;10.0
CONSTANCE;FILLE;2015;9.0
EMILIE;FILLE;2015;9.0
ZÉLIE;FILLE;2015;9.0
PÉNÉLOPE;FILLE;2015;8.0
ÉNORA;FILLE;2015;7.0
MARION;FILLE;2015;7.0
AMANDINE;FILLE;2015;6.0
ANDRÉA;FILLE;2015;6.0
EMMY;FILLE;2015;6.0
NOÉLINE;FILLE;2015;6.0
OLYMPE;FILLE;2015;6.0
GABRIEL;GARCON;2015;79.0
MARCEAU;GARCON;2015;19.0
MILO;GARCON;2015;15.0
RAYAN;GARCON;2015;13.0
TIMOTHÉE;GARCON;2015;13.0
EDEN;GARCON;2015;12.0
SAMUEL;GARCON;2015;12.0
QUENTIN;GARCON;2015;11.0
ERNEST;GARCON;2015;9.0
NOAM;GARCON;2015;9.0
NAÏM;GARCON;2015;8.0
AUGUSTE;GARCON;2015;7.0
LOAN;GARCON;2015;7.0
MILAN;GARCON;2015;7.0
PIERRE;GARCON;2015;7.0
TYMÉO;GARCON;2015;7.0
AYOUB;GARCON;2015;6.0
EWENN;GARCON;2015;6.0
EMMA;FILLE;2014;30.0
LOUNA;FILLE;2014;25.0
LUCIE;FILLE;2014;24.0
LOLA;FILLE;2014;22.0
ALIX;FILLE;2014;19.0
PAULINE;FILLE;2014;18.0
ELSA;FILLE;2014;17.0
LILOU;FILLE;2014;17.0
MARGOT;FILLE;2014;17.0
LISA;FILLE;2014;15.0
ELISE;FILLE;2014;12.0
LÉANE;FILLE;2014;12.0
MARIA;FILLE;2014;11.0
EMMY;FILLE;2014;10.0
CÉLESTE;FILLE;2014;9.0
DIANE;FILLE;2014;7.0
LISE;FILLE;2014;7.0
LYNA;FILLE;2014;7.0
MAÏSSA;FILLE;2014;7.0
ELOÏSE;FILLE;2014;6.0
SHANA;FILLE;2014;6.0
PAUL;GARCON;2014;53.0
MARTIN;GARCON;2014;37.0
MAËL;GARCON;2014;33.0
MAXENCE;GARCON;2014;29.0
TOM;GARCON;2014;26.0
NINO;GARCON;2014;24.0
EDEN;GARCON;2014;19.0
BASILE;GARCON;2014;15.0
MARCEAU;GARCON;2014;15.0
QUENTIN;GARCON;2014;15.0
PIERRE;GARCON;2014;12.0
ADRIEN;GARCON;2014;11.0
CHARLY;GARCON;2014;11.0
LORENZO;GARCON;2014;11.0
MATHYS;GARCON;2014;11.0
ARMAND;GARCON;2014;10.0
CORENTIN;GARCON;2014;10.0
LUCIEN;GARCON;2014;10.0
NOAM;GARCON;2014;10.0
MATHIAS;GARCON;2014;9.0
JOSHUA;GARCON;2014;8.0
LYAM;GARCON;2014;8.0
NATHANAËL;GARCON;2014;8.0
ISMAËL;GARCON;2014;7.0
TÉO;GARCON;2014;7.0
AMIR;GARCON;2014;6.0
LÉOPOLD;GARCON;2014;6.0
LUCA;GARCON;2014;6.0
SOFIANE;GARCON;2014;6.0
YANN;GARCON;2014;6.0
EMMA;FILLE;2013;53.0
ROMANE;FILLE;2013;48.0
ZOÉ;FILLE;2013;34.0
MARGOT;FILLE;2013;30.0
MILA;FILLE;2013;30.0
LÉNA;FILLE;2013;24.0
MATHILDE;FILLE;2013;18.0
ELSA;FILLE;2013;15.0
LILY;FILLE;2013;13.0
PAULINE;FILLE;2013;13.0
MARIE;FILLE;2013;12.0
SUZANNE;FILLE;2013;11.0
VICTORIA;FILLE;2013;9.0
ALICIA;FILLE;2013;7.0
CANDICE;FILLE;2013;7.0
ELÉONORE;FILLE;2013;7.0
EMY;FILLE;2013;7.0
GARANCE;FILLE;2013;7.0
NELL;FILLE;2013;7.0
FATOUMATA;FILLE;2013;6.0
SOFIA;FILLE;2013;6.0
LUCAS;GARCON;2013;48.0
ANTOINE;GARCON;2013;43.0
ETHAN;GARCON;2013;33.0
MAXENCE;GARCON;2013;28.0
THÉO;GARCON;2013;26.0
AARON;GARCON;2013;18.0
JOSEPH;GARCON;2013;13.0
LORENZO;GARCON;2013;13.0
RAYAN;GARCON;2013;12.0
TIAGO;GARCON;2013;11.0
BASILE;GARCON;2013;10.0
LORIS;GARCON;2013;9.0
CHARLES;GARCON;2013;8.0
JOSHUA;GARCON;2013;8.0
MATÉO;GARCON;2013;8.0
ILYES;GARCON;2013;7.0
JULIETTE;FILLE;2012;43.0
LÉNA;FILLE;2012;26.0
ADÈLE;FILLE;2012;24.0
ELISA;FILLE;2012;23.0
AMBRE;FILLE;2012;22.0
MAËLYS;FILLE;2012;20.0
MATHILDE;FILLE;2012;15.0
SOLINE;FILLE;2012;15.0
APOLLINE;FILLE;2012;14.0
MARION;FILLE;2012;12.0
OLIVIA;FILLE;2012;12.0
ANAËLLE;FILLE;2012;11.0
AXELLE;FILLE;2012;11.0
LÉANA;FILLE;2012;11.0
CLÉMENTINE;FILLE;2012;9.0
FLAVIE;FILLE;2012;8.0
AMEL;FILLE;2012;6.0
BERTILLE;FILLE;2012;6.0
EDEN;FILLE;2012;6.0
ÉLISE;FILLE;2012;6.0
ARTHUR;GARCON;2012;53.0
GABIN;GARCON;2012;35.0
MAXIME;GARCON;2012;28.0
PIERRE;GARCON;2012;24.0
AARON;GARCON;2012;11.0
LÉON;GARCON;2012;11.0
LORIS;GARCON;2012;10.0
CORENTIN;GARCON;2012;9.0
EDEN;GARCON;2012;9.0
ISAAC;GARCON;2012;8.0
LORENZO;GARCON;2012;8.0
SOHAN;GARCON;2012;8.0
WASSIM;GARCON;2012;8.0
ELOUAN;GARCON;2012;7.0
MARCEAU;GARCON;2012;7.0
LÉANDRE;GARCON;2012;6.0
NICOLAS;GARCON;2012;6.0
MANON;FILLE;2011;60.0
CLÉMENCE;FILLE;2011;23.0
THAÏS;FILLE;2011;23.0
CHARLOTTE;FILLE;2011;18.0
CÉLIA;FILLE;2011;16.0
GABRIELLE;FILLE;2011;15.0
ALICIA;FILLE;2011;14.0
AXELLE;FILLE;2011;13.0
ELSA;FILLE;2011;13.0
LYA;FILLE;2011;10.0
MAËLLE;FILLE;2011;10.0
OCÉANE;FILLE;2011;10.0
LAURA;FILLE;2011;9.0
JOSÉPHINE;FILLE;2011;8.0
LILA;FILLE;2011;8.0
NORA;FILLE;2011;8.0
CÉLESTE;FILLE;2011;6.0
EMY;FILLE;2011;6.0
NORAH;FILLE;2011;6.0
GABRIEL;GARCON;2011;49.0
NATHAN;GARCON;2011;46.0
PAUL;GARCON;2011;39.0
NOAH;GARCON;2011;38.0
NOÉ;GARCON;2011;34.0
AXEL;GARCON;2011;33.0
THOMAS;GARCON;2011;26.0
TITOUAN;GARCON;2011;22.0
QUENTIN;GARCON;2011;20.0
LUCIEN;GARCON;2011;15.0
MOHAMED;GARCON;2011;15.0
NOAM;GARCON;2011;12.0
CHARLY;GARCON;2011;10.0
TAO;GARCON;2011;9.0
EDOUARD;GARCON;2011;8.0
LOÏS;GARCON;2011;8.0
NAËL;GARCON;2011;8.0
IBRAHIM;GARCON;2011;7.0
LÉONARD;GARCON;2011;7.0
PACÔME;GARCON;2011;7.0
YANN;GARCON;2011;7.0
ANDY;GARCON;2011;6.0
LOGAN;GARCON;2011;6.0
TONY;GARCON;2011;6.0
ROMANE;FILLE;2010;34.0
JULIETTE;FILLE;2010;32.0
MAËLYS;FILLE;2010;31.0
JEANNE;FILLE;2010;27.0
LOUNA;FILLE;2010;26.0
NINA;FILLE;2010;25.0
ADÈLE;FILLE;2010;23.0
PAULINE;FILLE;2010;20.0
AGATHE;FILLE;2010;15.0
NORAH;FILLE;2010;7.0
LALY;FILLE;2010;6.0
ARTHUR;GARCON;2010;58.0
PAUL;GARCON;2010;34.0
EVAN;GARCON;2010;32.0
VALENTIN;GARCON;2010;24.0
ADAM;GARCON;2010;21.0
ANTONIN;GARCON;2010;18.0
BENJAMIN;GARCON;2010;17.0
NOA;GARCON;2010;16.0
LORENZO;GARCON;2010;12.0
MILO;GARCON;2010;11.0
TIMOTHÉ;GARCON;2010;10.0
ELIAS;GARCON;2010;9.0
ELOUAN;GARCON;2010;9.0
KYLIAN;GARCON;2010;8.0
LÉANDRE;GARCON;2010;8.0
LOUKA;GARCON;2010;8.0
HIPPOLYTE;GARCON;2010;7.0
SOREN;GARCON;2010;7.0
WILLIAM;GARCON;2010;7.0
JULIEN;GARCON;2010;6.0
ROMÉO;GARCON;2010;6.0
THÉODORE;GARCON;2010;6.0
ROMANE;FILLE;2009;41.0
CHARLOTTE;FILLE;2009;28.0
CLARA;FILLE;2009;28.0
CLÉMENCE;FILLE;2009;23.0
ADÈLE;FILLE;2009;21.0
MARGAUX;FILLE;2009;20.0
LUCIE;FILLE;2009;19.0
ANOUK;FILLE;2009;14.0
CÉLIA;FILLE;2009;14.0
COLINE;FILLE;2009;12.0
LISE;FILLE;2009;12.0
YASMINE;FILLE;2009;12.0
MARINE;FILLE;2009;11.0
JOSÉPHINE;FILLE;2009;9.0
LALIE;FILLE;2009;9.0
IRIS;FILLE;2009;8.0
MIA;FILLE;2009;8.0
CLOÉ;FILLE;2009;7.0
LOU-ANN;FILLE;2009;7.0
CASSANDRE;FILLE;2009;6.0
FLAVIE;FILLE;2009;6.0
LILI;FILLE;2009;6.0
VALENTINE;FILLE;2009;6.0
LUCAS;GARCON;2009;61.0
ARTHUR;GARCON;2009;50.0
NATHAN;GARCON;2009;49.0
TIMÉO;GARCON;2009;25.0
NINO;GARCON;2009;16.0
SAMUEL;GARCON;2009;16.0
KYLIAN;GARCON;2009;13.0
LENNY;GARCON;2009;13.0
TRISTAN;GARCON;2009;13.0
AMINE;GARCON;2009;11.0
TIMOTHÉ;GARCON;2009;11.0
DIEGO;GARCON;2009;10.0
ACHILLE;GARCON;2009;8.0
EDGAR;GARCON;2009;7.0
AYMERIC;GARCON;2009;6.0
ZOÉ;FILLE;2008;44.0
MATHILDE;FILLE;2008;26.0
LOUANE;FILLE;2008;17.0
ELSA;FILLE;2008;16.0
APOLLINE;FILLE;2008;13.0
ADÈLE;FILLE;2008;12.0
MÉLINE;FILLE;2008;10.0
YUNA;FILLE;2008;10.0
CLARISSE;FILLE;2008;9.0
LOUISA;FILLE;2008;9.0
LALY;FILLE;2008;7.0
LOUANNE;FILLE;2008;7.0
JOSÉPHINE;FILLE;2008;6.0
LUCILE;FILLE;2008;6.0
PRUNE;FILLE;2008;6.0
ETHAN;GARCON;2008;46.0
TITOUAN;GARCON;2008;41.0
ANTOINE;GARCON;2008;40.0
ARTHUR;GARCON;2008;40.0
THÉO;GARCON;2008;35.0
VALENTIN;GARCON;2008;23.0
NINO;GARCON;2008;16.0
LOUKA;GARCON;2008;15.0
TRISTAN;GARCON;2008;13.0
LUCIEN;GARCON;2008;9.0
MATTHIEU;GARCON;2008;8.0
WILLIAM;GARCON;2008;8.0
PACÔME;GARCON;2008;7.0
RAYAN;GARCON;2008;7.0
SASHA;GARCON;2008;7.0
COLIN;GARCON;2008;6.0
DIEGO;GARCON;2008;6.0
LINO;GARCON;2008;6.0
EMMA;FILLE;2007;56.0
LILOU;FILLE;2007;43.0
MANON;FILLE;2007;41.0
LOUNA;FILLE;2007;30.0
ROSE;FILLE;2007;27.0
ANAÏS;FILLE;2007;22.0
LÉONIE;FILLE;2007;22.0
MARGAUX;FILLE;2007;20.0
MARGOT;FILLE;2007;14.0
MÉLISSA;FILLE;2007;14.0
MAËLLE;FILLE;2007;13.0
NOÉMIE;FILLE;2007;13.0
EMILIE;FILLE;2007;11.0
NORAH;FILLE;2007;11.0
CASSANDRE;FILLE;2007;9.0
KATELL;FILLE;2007;9.0
YASMINE;FILLE;2007;7.0
ALEXANDRA;FILLE;2007;6.0
CÉLESTE;FILLE;2007;6.0
CHARLINE;FILLE;2007;6.0
ELÉA;FILLE;2007;6.0
MAYLIS;FILLE;2007;6.0
ALEXANDRE;GARCON;2007;40.0
TIMÉO;GARCON;2007;32.0
THOMAS;GARCON;2007;31.0
VALENTIN;GARCON;2007;28.0
SACHA;GARCON;2007;26.0
MALO;GARCON;2007;23.0
ELIOTT;GARCON;2007;15.0
TRISTAN;GARCON;2007;15.0
DYLAN;GARCON;2007;13.0
LORENZO;GARCON;2007;12.0
ARMAND;GARCON;2007;11.0
AARON;GARCON;2007;8.0
MATHIEU;GARCON;2007;8.0
ALAN;GARCON;2007;7.0
TEDDY;GARCON;2007;7.0
ZOÉ;FILLE;2006;45.0
LOUISE;FILLE;2006;42.0
JEANNE;FILLE;2006;40.0
EVA;FILLE;2006;23.0
ALICE;FILLE;2006;22.0
CAPUCINE;FILLE;2006;18.0
MARION;FILLE;2006;13.0
LUNA;FILLE;2006;11.0
ANAËLLE;FILLE;2006;9.0
ANOUK;FILLE;2006;9.0
AMANDINE;FILLE;2006;8.0
CASSANDRE;FILLE;2006;7.0
ELSA;FILLE;2006;7.0
LOANE;FILLE;2006;7.0
JULES;GARCON;2006;42.0
ALEXANDRE;GARCON;2006;37.0
EVAN;GARCON;2006;31.0
SIMON;GARCON;2006;31.0
DORIAN;GARCON;2006;18.0
NICOLAS;GARCON;2006;17.0
ILAN;GARCON;2006;14.0
ADRIEN;GARCON;2006;13.0
PABLO;GARCON;2006;13.0
FÉLIX;GARCON;2006;9.0
JEAN;GARCON;2006;8.0
TIAGO;GARCON;2006;8.0
CÔME;GARCON;2006;7.0
JIMMY;GARCON;2006;6.0
RÉMI;GARCON;2006;6.0
RUBEN;GARCON;2006;6.0
CLARA;FILLE;2005;53.0
ROMANE;FILLE;2005;45.0
JADE;FILLE;2005;39.0
MARIE;FILLE;2005;37.0
ALICE;FILLE;2005;23.0
LÉONIE;FILLE;2005;21.0
LOU;FILLE;2005;21.0
ALICIA;FILLE;2005;13.0
ELISE;FILLE;2005;13.0
LISA;FILLE;2005;12.0
CÉLIA;FILLE;2005;11.0
FANNY;FILLE;2005;10.0
MORGANE;FILLE;2005;10.0
COLINE;FILLE;2005;8.0
NORA;FILLE;2005;8.0
PALOMA;FILLE;2005;8.0
ANGÈLE;FILLE;2005;7.0
LISON;FILLE;2005;7.0
FLORA;FILLE;2005;6.0
HÉLOÏSE;FILLE;2005;6.0
CLÉMENT;GARCON;2005;46.0
ANTOINE;GARCON;2005;41.0
PIERRE;GARCON;2005;37.0
MAXENCE;GARCON;2005;27.0
VICTOR;GARCON;2005;26.0
YANIS;GARCON;2005;21.0
MATHIEU;GARCON;2005;20.0
ELIOTT;GARCON;2005;17.0
ETHAN;GARCON;2005;16.0
ERWAN;GARCON;2005;12.0
LILIAN;GARCON;2005;10.0
NINO;GARCON;2005;8.0
TÉO;GARCON;2005;7.0
ANTHONY;GARCON;2005;6.0
ELIE;GARCON;2005;6.0
LUKAS;GARCON;2005;6.0
NOAM;GARCON;2005;6.0
JULIETTE;FILLE;2004;27.0
ANAÏS;FILLE;2004;20.0
ELISE;FILLE;2004;16.0
MAËLYS;FILLE;2004;14.0
AGATHE;FILLE;2004;12.0
CANDICE;FILLE;2004;11.0
CLÉMENTINE;FILLE;2004;9.0
NOA;FILLE;2004;8.0
LOUANNE;FILLE;2004;7.0
VICTOIRE;FILLE;2004;6.0
LOUIS;GARCON;2004;40.0
ALEXANDRE;GARCON;2004;36.0
ARTHUR;GARCON;2004;36.0
PAUL;GARCON;2004;29.0
AXEL;GARCON;2004;27.0
VICTOR;GARCON;2004;22.0
MATTÉO;GARCON;2004;18.0
YANIS;GARCON;2004;17.0
NOÉ;GARCON;2004;14.0
BASILE;GARCON;2004;10.0
NOA;GARCON;2004;10.0
MELVIN;GARCON;2004;7.0
CÔME;GARCON;2004;6.0
MANON;FILLE;2003;50.0
OCÉANE;FILLE;2003;20.0
MATHILDE;FILLE;2003;17.0
LOU;FILLE;2003;14.0
CHARLOTTE;FILLE;2003;13.0
AMBRE;FILLE;2003;11.0
FANNY;FILLE;2003;10.0
CAPUCINE;FILLE;2003;8.0
LOUANE;FILLE;2003;8.0
AUDREY;FILLE;2003;6.0
SAMANTHA;FILLE;2003;6.0
LUCAS;GARCON;2003;37.0
PIERRE;GARCON;2003;27.0
MAXIME;GARCON;2003;25.0
CORENTIN;GARCON;2003;24.0
NOA;GARCON;2003;13.0
EVAN;GARCON;2003;11.0
KÉVIN;GARCON;2003;11.0
MATHIEU;GARCON;2003;11.0
FLORIAN;GARCON;2003;10.0
LORENZO;GARCON;2003;9.0
ARMAND;GARCON;2003;7.0
ELOUAN;GARCON;2003;7.0
KILIAN;GARCON;2003;7.0
ADRIEN;GARCON;2003;6.0
LÉA;FILLE;2002;59.0
CAMILLE;FILLE;2002;48.0
PAULINE;FILLE;2002;31.0
MARINE;FILLE;2002;28.0
ELISA;FILLE;2002;17.0
ALICIA;FILLE;2002;14.0
LOU;FILLE;2002;14.0
ENORA;FILLE;2002;13.0
VALENTINE;FILLE;2002;12.0
CLARISSE;FILLE;2002;10.0
CONSTANCE;FILLE;2002;10.0
ANDRÉA;FILLE;2002;8.0
ANGÈLE;FILLE;2002;6.0
HÉLOÏSE;FILLE;2002;6.0
ANTOINE;GARCON;2002;35.0
PAUL;GARCON;2002;32.0
TOM;GARCON;2002;31.0
MAXENCE;GARCON;2002;20.0
ERWAN;GARCON;2002;18.0
MATÉO;GARCON;2002;18.0
FLORIAN;GARCON;2002;15.0
YANIS;GARCON;2002;14.0
MATTHIEU;GARCON;2002;13.0
ALAN;GARCON;2002;11.0
LILIAN;GARCON;2002;10.0
MATHYS;GARCON;2002;9.0
RAPHAËL;GARCON;2002;9.0
AYMERIC;GARCON;2002;7.0
ESTEBAN;GARCON;2002;7.0
PABLO;GARCON;2002;7.0
TRISTAN;GARCON;2002;7.0
LAURA;FILLE;2001;24.0
FLAVIE;FILLE;2001;22.0
ELISE;FILLE;2001;20.0
MAËLLE;FILLE;2001;20.0
AMANDINE;FILLE;2001;19.0
ANGÈLE;FILLE;2001;13.0
ANNA;FILLE;2001;12.0
LOU;FILLE;2001;11.0
CONSTANCE;FILLE;2001;10.0
ANDRÉA;FILLE;2001;9.0
ASTRID;FILLE;2001;9.0
MAÏLYS;FILLE;2001;9.0
NINA;FILLE;2001;9.0
ALEXANDRA;FILLE;2001;8.0
OPHÉLIE;FILLE;2001;8.0
CASSANDRA;FILLE;2001;7.0
CHARLINE;FILLE;2001;7.0
ROSE;FILLE;2001;7.0
LAURINE;FILLE;2001;6.0
ALEXANDRE;GARCON;2001;57.0
PAUL;GARCON;2001;38.0
NICOLAS;GARCON;2001;36.0
VICTOR;GARCON;2001;33.0
JULES;GARCON;2001;29.0
TOM;GARCON;2001;28.0
CORENTIN;GARCON;2001;27.0
ANTONIN;GARCON;2001;17.0
TANGUY;GARCON;2001;15.0
KILIAN;GARCON;2001;13.0
ERWAN;GARCON;2001;12.0
CHARLES;GARCON;2001;11.0
JUSTIN;GARCON;2001;10.0
YANIS;GARCON;2001;9.0
EWEN;GARCON;2001;7.0
OLIVIER;GARCON;2001;6.0
HÉLOÏSE;FILLE;2019;23.0
ANAÏS;FILLE;2019;18.0
SALOMÉ;FILLE;2019;17.0
YASMINE;FILLE;2019;10.0
CÉLIA;FILLE;2019;9.0
CLÉMENCE;FILLE;2019;9.0
EMY;FILLE;2019;9.0
LEÏLA;FILLE;2019;9.0
AMÉLIA;FILLE;2019;7.0
ELÉONORE;FILLE;2019;7.0
NOÉ;GARCON;2019;32.0
TIAGO;GARCON;2019;29.0
AXEL;GARCON;2019;25.0
VALENTIN;GARCON;2019;20.0
NINO;GARCON;2019;19.0
NOA;GARCON;2019;15.0
ACHILLE;GARCON;2019;12.0
TIMÉO;GARCON;2019;12.0
AYDEN;GARCON;2019;11.0
IBRAHIM;GARCON;2019;11.0
NATHANAËL;GARCON;2019;11.0
MAHÉ;GARCON;2019;10.0
NAÏM;GARCON;2019;10.0
PABLO;GARCON;2019;10.0
ALIX;GARCON;2019;9.0
QUENTIN;GARCON;2019;8.0
ANATOLE;GARCON;2019;7.0
HENRI;GARCON;2019;6.0
MARCUS;GARCON;2019;6.0
MOHAMMED;GARCON;2019;6.0
ROSE;FILLE;2018;36.0
MANON;FILLE;2018;32.0
ROMANE;FILLE;2018;32.0
LOU;FILLE;2018;27.0
ALIX;FILLE;2018;23.0
MARGAUX;FILLE;2018;22.0
THAÏS;FILLE;2018;16.0
JOSÉPHINE;FILLE;2018;15.0
OLIVIA;FILLE;2018;15.0
ROMY;FILLE;2018;15.0
NORAH;FILLE;2018;14.0
SOFIA;FILLE;2018;14.0
CÉLESTE;FILLE;2018;12.0
ÉLÉONORE;FILLE;2018;12.0
EMMY;FILLE;2018;9.0
MARIE;FILLE;2018;9.0
ALBANE;FILLE;2018;8.0
LOUISON;FILLE;2018;8.0
NINON;FILLE;2018;8.0
CHARLINE;FILLE;2018;7.0
ELLA;FILLE;2018;7.0
JULIE;FILLE;2018;7.0
RAPHAËL;GARCON;2018;65.0
ARTHUR;GARCON;2018;62.0
LOUIS;GARCON;2018;53.0
SACHA;GARCON;2018;41.0
ISAAC;GARCON;2018;29.0
ETHAN;GARCON;2018;20.0
LÉANDRE;GARCON;2018;15.0
NATHANAËL;GARCON;2018;12.0
MAHÉ;GARCON;2018;10.0
IBRAHIM;GARCON;2018;9.0
MILAN;GARCON;2018;9.0
BASTIEN;GARCON;2018;8.0
ANDREA;GARCON;2018;7.0
CHARLES;GARCON;2018;7.0
DAVID;GARCON;2018;7.0
ELIE;GARCON;2018;7.0
AMINE;GARCON;2018;6.0
ÉMILE;GARCON;2018;6.0
ISSA;GARCON;2018;6.0
LÉOPOLD;GARCON;2018;6.0
WASSIM;GARCON;2018;6.0
ROSE;FILLE;2017;46.0
ANNA;FILLE;2017;32.0
LÉNA;FILLE;2017;31.0
ALIX;FILLE;2017;22.0
ROMY;FILLE;2017;17.0
CHARLIE;FILLE;2017;12.0
LÉANA;FILLE;2017;12.0
MAYA;FILLE;2017;11.0
GABRIELLE;FILLE;2017;10.0
MAÏWENN;FILLE;2017;10.0
MÉLINE;FILLE;2017;10.0
LANA;FILLE;2017;9.0
NORAH;FILLE;2017;9.0
AMINA;FILLE;2017;8.0
ELLIE;FILLE;2017;8.0
JUSTINE;FILLE;2017;8.0
LOUISA;FILLE;2017;8.0
LYA;FILLE;2017;8.0
OCÉANE;FILLE;2017;8.0
SIXTINE;FILLE;2017;8.0
JUNE;FILLE;2017;7.0
LILOU;FILLE;2017;7.0
LYNA;FILLE;2017;7.0
NOUR;FILLE;2017;7.0
PAULINE;FILLE;2017;7.0
AVA;FILLE;2017;6.0
LUCAS;GARCON;2017;47.0
NOAH;GARCON;2017;31.0
MATHIS;GARCON;2017;28.0
ISAAC;GARCON;2017;19.0
ARSÈNE;GARCON;2017;16.0
SAMUEL;GARCON;2017;15.0
CHARLIE;GARCON;2017;14.0
OWEN;GARCON;2017;14.0
AUGUSTE;GARCON;2017;13.0
ULYSSE;GARCON;2017;10.0
ÉMILE;GARCON;2017;9.0
KENZO;GARCON;2017;9.0
ABEL;GARCON;2017;8.0
EDEN;GARCON;2017;8.0
MATHYS;GARCON;2017;8.0
NATHANAËL;GARCON;2017;8.0
IBRAHIM;GARCON;2017;7.0
HENRI;GARCON;2017;6.0
JAMES;GARCON;2017;6.0
LÉOPOLD;GARCON;2017;6.0
MILAN;GARCON;2017;6.0
YOUSSEF;GARCON;2017;6.0
INÈS;FILLE;2016;40.0
LINA;FILLE;2016;29.0
LUCIE;FILLE;2016;20.0
CONSTANCE;FILLE;2016;11.0
LANA;FILLE;2016;11.0
MAYA;FILLE;2016;10.0
FAUSTINE;FILLE;2016;9.0
CLÉMENTINE;FILLE;2016;8.0
ÉLISA;FILLE;2016;8.0
ELOÏSE;FILLE;2016;8.0
AMANDINE;FILLE;2016;7.0
ÉLÉONORE;FILLE;2016;7.0
CALIE;FILLE;2016;6.0
ELINA;FILLE;2016;6.0
LOUISA;FILLE;2016;6.0
OCÉANE;FILLE;2016;6.0
JULES;GARCON;2016;63.0
PAUL;GARCON;2016;60.0
ARTHUR;GARCON;2016;58.0
GABRIEL;GARCON;2016;56.0
ADAM;GARCON;2016;43.0
CLÉMENT;GARCON;2016;31.0
YANIS;GARCON;2016;25.0
SIMON;GARCON;2016;23.0
NOAM;GARCON;2016;17.0
AARON;GARCON;2016;16.0
EDEN;GARCON;2016;16.0
ANTONIN;GARCON;2016;15.0
MARIN;GARCON;2016;14.0
CAMILLE;GARCON;2016;13.0
MILO;GARCON;2016;12.0
ABEL;GARCON;2016;9.0
AYOUB;GARCON;2016;8.0
HAYDEN;GARCON;2016;8.0
IBRAHIM;GARCON;2016;8.0
THIAGO;GARCON;2016;8.0
ALBIN;GARCON;2016;7.0
GUSTAVE;GARCON;2016;7.0
JACQUES;GARCON;2016;7.0
MATHYS;GARCON;2016;6.0
SANDRO;GARCON;2016;6.0
SOLINE;FILLE;2015;24.0
CLÉMENCE;FILLE;2015;23.0
CHARLOTTE;FILLE;2015;21.0
LÉNA;FILLE;2015;18.0
OLIVIA;FILLE;2015;17.0
ANAÏS;FILLE;2015;15.0
SOFIA;FILLE;2015;15.0
LANA;FILLE;2015;13.0
LOUANE;FILLE;2015;13.0
SUZANNE;FILLE;2015;13.0
MAËLYS;FILLE;2015;12.0
ANAÉ;FILLE;2015;11.0
LAURA;FILLE;2015;10.0
MAÏWENN;FILLE;2015;10.0
LÉANA;FILLE;2015;9.0
KENZA;FILLE;2015;8.0
LÉANE;FILLE;2015;8.0
AXELLE;FILLE;2015;6.0
MIYA;FILLE;2015;6.0
AUGUSTIN;GARCON;2015;30.0
GABIN;GARCON;2015;30.0
AARON;GARCON;2015;24.0
NAËL;GARCON;2015;17.0
ARMAND;GARCON;2015;15.0
ALEXANDRE;GARCON;2015;12.0
FÉLIX;GARCON;2015;11.0
KAÏS;GARCON;2015;11.0
KENZO;GARCON;2015;10.0
ADEM;GARCON;2015;9.0
MARIN;GARCON;2015;8.0
TIMOTHÉ;GARCON;2015;8.0
AMAURY;GARCON;2015;7.0
NILS;GARCON;2015;7.0
LÉOPOLD;GARCON;2015;6.0
MATÉO;GARCON;2015;6.0
CAMILLE;FILLE;2014;36.0
LÉA;FILLE;2014;35.0
ANNA;FILLE;2014;25.0
ANAÏS;FILLE;2014;18.0
ENORA;FILLE;2014;14.0
COLINE;FILLE;2014;12.0
NOÉMIE;FILLE;2014;12.0
MONA;FILLE;2014;7.0
ELÉONORE;FILLE;2014;6.0
YAËLLE;FILLE;2014;6.0
RAPHAËL;GARCON;2014;47.0
ADAM;GARCON;2014;28.0
TIMÉO;GARCON;2014;24.0
ALEXANDRE;GARCON;2014;16.0
RAYAN;GARCON;2014;16.0
TIMOTHÉ;GARCON;2014;16.0
MARIN;GARCON;2014;12.0
CAMILLE;GARCON;2014;11.0
JOSEPH;GARCON;2014;10.0
ALEX;GARCON;2014;8.0
GUSTAVE;GARCON;2014;8.0
ARSÈNE;GARCON;2014;7.0
ILYES;GARCON;2014;7.0
LÉONARD;GARCON;2014;7.0
LOAN;GARCON;2014;7.0
ERWAN;GARCON;2014;6.0
JONAS;GARCON;2014;6.0
MALONE;GARCON;2014;6.0
RAFAËL;GARCON;2014;6.0
MANON;FILLE;2013;50.0
CHARLOTTE;FILLE;2013;25.0
CLÉMENCE;FILLE;2013;25.0
AMBRE;FILLE;2013;21.0
NINA;FILLE;2013;20.0
LANA;FILLE;2013;15.0
APOLLINE;FILLE;2013;12.0
LAURA;FILLE;2013;12.0
LÉANA;FILLE;2013;11.0
LISE;FILLE;2013;11.0
